"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.umd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappchooselocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappes6.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappopenlocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniapppicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquill.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquillimageresize.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappscan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappview.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config-service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-service.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\view.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\view.umd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\README.md", "Markdown", 0, 0, 0, 76, 0, 0, 0, 0, 7, 24, 107
